id,datum,nove_pripady,nove_reinfekce,pripady_neockovani_neprodelali,pripady_neockovani_prodelali,pripady_ockovani_neprodelali,pripady_ockovani_prodelali,hospitalizace_bez_reinfekce,hospitalizace_vcetne_reinfekce,hospitalizace_pouze_reinfekce,nove_hospitalizace,nove_hospitalizace_komplet,hospitalizace_neockovani_neprodelali,hospitalizace_neockovani_prodelali,hospitalizace_ockovani_neprodelali,hospitalizace_ockovani_prodelali,jip_bez_reinfekce,jip_vcetne_reinfekce,jip_pouze_reinfekce,nove_jip,nove_jip_komplet,jip_neockovani_neprodelali,jip_neockovani_prodelali,jip_ockovani_neprodelali,jip_ockovani_prodelali
426aaf0b-6d40-463d-84bb-cd10f30f1193,2020-04-18,105,,105,,,,338,338,,15,16,338,,,,81,81,,5,3,81,,,
3b6130f3-f1fa-4946-ab12-760033cbf6a4,2020-04-19,92,,92,,,,345,345,,23,24,345,,,,84,84,,8,6,84,,,
818800ac-78b8-4a0e-9c76-330a87d7a1f9,2020-04-20,154,,154,,,,348,348,,25,26,348,,,,86,86,,11,6,86,,,
55777a4e-54d8-4009-a306-da7ec2e1360c,2020-04-21,133,,133,,,,365,365,,40,44,365,,,,82,82,,5,5,82,,,
8a0cfcd8-1a0b-48d1-abc9-e96589a31514,2020-04-22,99,,99,,,,342,342,,16,16,342,,,,78,78,,5,2,78,,,
4fb0fc8e-9473-4ea9-8bbe-1efc545a32ea,2020-04-23,55,,55,,,,335,335,,27,27,335,,,,75,75,,8,3,75,,,
2763a4e2-6cee-4be9-af23-31933bb2b7c0,2020-04-24,86,,86,,,,329,329,,20,20,329,,,,73,73,,3,2,73,,,
6569d0c9-6e07-474a-80dd-4af511e06500,2020-04-25,79,,79,,,,314,314,,11,13,314,,,,69,69,,4,1,69,,,
bd0ad563-c644-4e78-996c-90cd4c3cecdd,2020-04-26,52,,52,,,,310,310,,11,12,310,,,,67,67,,3,2,67,,,
4b17187e-2346-43dc-aaec-d1fd6e7a4372,2020-04-27,41,,41,,,,309,309,,14,14,309,,,,68,68,,2,2,68,,,
55cfa1ee-2772-4943-9b52-5edb8f71f332,2020-04-28,60,,60,,,,305,305,,12,13,305,,,,61,61,,1,,61,,,
d735ad7c-f1d5-483d-adad-1d1aeae8f750,2020-04-29,75,,75,,,,286,286,,4,5,286,,,,60,60,,3,1,60,,,
5c298bf8-e172-44e0-b28c-473e4714b321,2020-04-30,108,,108,,,,273,273,,19,19,273,,,,52,52,,1,1,52,,,
444a1e19-3442-4802-ae9d-5a131c90a900,2020-05-01,57,,57,,,,244,244,,8,9,244,,,,46,46,,1,1,46,,,
9ad8fb49-578c-40fc-a308-10d24293c328,2020-05-02,18,,18,,,,233,233,,11,11,233,,,,47,47,,4,2,47,,,
f355e660-19ad-4b2c-a62f-f68e7b8817f9,2020-05-03,26,,26,,,,232,232,,6,6,232,,,,45,45,,,,45,,,
93cb07fd-f2f9-4e5d-b0c2-602e1107c3e5,2020-05-04,39,,39,,,,236,236,,11,18,236,,,,47,47,,5,3,47,,,
5bbfc568-ff52-4a39-af23-4fdf7c41c1e4,2020-05-05,77,,77,,,,223,223,,12,12,223,,,,37,37,,1,,37,,,
def280f1-6d83-4c6e-a5a4-243b2f780742,2020-05-06,79,,79,,,,209,209,,4,6,209,,,,35,35,,,,35,,,
