datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,kumulativni_pocet_ag_testu,prirustkovy_pocet_nakazenych,prirustkovy_pocet_vylecenych,prirustkovy_pocet_umrti,prirustkovy_pocet_provedenych_testu,prirustkovy_pocet_provedenych_ag_testu,kumulativni_pocet_nove_nakazenych_primoinfekce,kumulativni_pocet_nove_nakazenych_reinfekce,prirustkovy_pocet_nove_nakazenych_primoinfekce,prirustkovy_pocet_nove_nakazenych_reinfekce
2023-11-09,4675426,4623496,42973,22174642,34756118,855,1449,3,374,2845,4259282,416144,487,368
2023-11-10,4676239,4624463,42981,22175056,34758823,813,967,8,414,2705,4259744,416495,462,351
2023-11-11,4676341,4625297,42982,22175189,34759060,102,834,1,133,237,4259817,416524,73,29
2023-11-12,4676422,4626048,42986,22175288,34759288,81,751,4,99,228,4259878,416544,61,20
2023-11-13,4678233,4626828,42991,22175885,34764891,1811,780,5,597,5603,4260836,417397,958,853
2023-11-14,4679404,4626941,42998,22176399,34768790,1171,113,7,514,3899,4261512,417892,676,495
2023-11-15,4680572,4627027,43003,22176898,34772401,1168,86,5,499,3611,4262192,418380,680,488
2023-11-16,4681574,4628599,43011,22177331,34775732,1002,1572,8,433,3331,4262754,418820,562,440
2023-11-17,4681694,4629695,43016,22177439,34776005,120,1096,5,108,273,4262846,418848,92,28
2023-11-18,4681829,4630621,43023,22177560,34776338,135,926,7,121,333,4262937,418892,91,44
2023-11-19,4681955,4631436,43025,22177638,34776642,126,815,2,78,304,4263020,418935,83,43
2023-11-20,4684354,4632261,43028,22178411,34783630,2399,825,3,773,6988,4264230,420124,1210,1189
2023-11-21,4686032,4632383,43032,22178916,34788572,1678,122,4,505,4942,4265145,420887,915,763
2023-11-22,4687557,4632498,43037,22179405,34792860,1525,115,5,489,4288,4265985,421572,840,685
2023-11-23,4688883,4634281,43043,22179851,34796986,1326,1783,6,446,4126,4266687,422196,702,624
2023-11-24,4690195,4635415,43049,22180339,34800826,1312,1134,6,488,3840,4267400,422795,713,599
2023-11-25,4690329,4636557,43052,22180484,34801125,134,1142,3,145,299,4267497,422832,97,37
2023-11-26,4690490,4637552,43059,22180556,34801462,161,995,7,72,337,4267607,422883,110,51
2023-11-27,4693317,4637704,43064,22181288,34808676,2827,152,5,732,7214,4269092,424225,1485,1342
2023-11-28,4695332,4637908,43072,22181824,34814000,2015,204,8,536,5324,4270190,425142,1098,917
2023-11-29,4697060,4638070,43077,22182376,34818720,1728,162,5,552,4720,4271159,425901,969,759
2023-11-30,4698777,4640372,43079,22182826,34823251,1717,2302,2,450,4531,4272124,426653,965,752
2023-12-01,4700510,4642012,43092,22183385,34827748,1733,1640,13,559,4497,4273111,427399,987,746
2023-12-02,4700651,4643459,43100,22183506,34828098,141,1447,8,121,350,4273213,427438,102,39
2023-12-03,4700815,4644730,43108,22183617,34828448,164,1271,8,111,350,4273319,427496,106,58
2023-12-04,4704303,4646040,43117,22184366,34836874,3488,1310,9,749,8426,4275053,429250,1734,1754
2023-12-05,4706863,4646197,43127,22184968,34842979,2560,157,10,602,6105,4276466,430397,1413,1147
2023-12-06,4709230,4646393,43138,22185529,34848674,2367,196,11,561,5695,4277747,431483,1281,1086
2023-12-07,4711455,4649125,43144,22186050,34853921,2225,2732,6,521,5247,4279004,432451,1257,968
2023-12-08,4713613,4651065,43152,22186622,34859076,2158,1940,8,572,5155,4280187,433426,1183,975
2023-12-09,4713826,4652723,43161,22186779,34859498,213,1658,9,157,422,4280335,433491,148,65
2023-12-10,4714079,4654364,43173,22186901,34859971,253,1641,12,122,473,4280523,433556,188,65
2023-12-11,4718604,4656035,43187,22187788,34870008,4525,1671,14,887,10037,4282870,435734,2347,2178
2023-12-12,4721663,4656204,43197,22188441,34877221,3059,169,10,653,7213,4284506,437157,1636,1423
2023-12-13,4724605,4656397,43209,22189128,34883970,2942,193,12,687,6749,4286068,438537,1562,1380
